Date,stocks_us,stocks_as,stocks_eu,bonds_us,bonds_as,bonds_eu,bbcoms
7/3/2000,1469.54,265.3246261,14815.22764,1012.48,99.9685,107.81492,104.7638
7/4/2000,#N/A,267.1355871,14732.84802,#N/A,99.9828,107.83067,#N/A
7/5/2000,1446.23,271.051241,14527.54778,1013.44,99.9908,108.03874,102.0189
7/6/2000,1456.67,271.2406733,14591.67204,1010.77,100.138,107.74483,100.7384
7/7/2000,1478.9,276.8891885,14894.28408,1013.38,100.0538,107.973,101.632
7/10/2000,1475.62,283.6006298,14801.13085,1012.97,99.9851,107.90541,101.4318
7/11/2000,1480.88,285.6643401,14867.22632,1012.77,99.9178,108.05096,101.6973
7/12/2000,1492.92,288.7818308,14799.95109,1012.27,99.9316,107.91183,101.5617
7/13/2000,1495.84,287.1353747,14631.65595,1016.62,100.3138,107.96515,102.7323
7/14/2000,1509.98,289.3599879,14569.65012,1011.85,100.2651,107.75678,102.0742
7/17/2000,1510.49,293.3999423,14560.93662,1009.4,100.3232,107.7311,101.6829
7/18/2000,1493.74,286.919086,14446.72477,1009.76,100.3764,107.73466,103.1257
7/19/2000,1481.96,291.3259278,14483.465,1009.76,100.2705,107.85091,102.2697
7/20/2000,1495.57,292.1227432,14774.55061,1017.91,100.3001,108.00806,101.9356
7/21/2000,1480.19,294.7839143,14691.02731,1018.93,100.3723,108.07192,100.8852
7/24/2000,1464.29,290.5549326,14638.99735,1017.91,100.3297,108.13291,99.4907
7/25/2000,1474.47,285.8105476,14709.75437,1018.65,100.209,108.29545,99.1324
7/26/2000,1452.42,289.7644588,14665.85022,1018.49,100.3088,108.52396,99.2002
7/27/2000,1449.62,287.0125119,14543.95344,1020.88,100.4418,108.50365,99.7807
7/28/2000,1419.89,282.5677519,14306.97226,1019.98,100.5586,108.40028,99.8776
7/31/2000,1430.83,276.9159743,14305.69745,1020.2,100.5711,108.3809,99.0044
8/1/2000,1438.1,277.8213443,14260.84377,1022.52,100.5485,108.67045,99.6364
8/2/2000,1438.7,284.0626887,14267.14871,1023.47,100.5591,108.57976,100.7664
8/3/2000,1452.56,284.0188415,14147.01207,1025.08,100.5364,108.53613,100.7538
8/4/2000,1462.93,286.5066369,14389.04314,1027.41,100.6214,108.53491,101.6325
8/7/2000,1479.32,291.5169182,14586.32954,1025.75,100.6291,108.74113,100.5354
8/8/2000,1482.8,283.0140041,14373.66979,1027.74,100.5553,108.65406,101.0251
8/9/2000,1472.87,282.4579959,14464.98106,1028.29,100.2977,108.70971,101.8786
8/10/2000,1460.25,284.9347881,14330.54221,1030.13,100.2269,108.86071,102.8316
8/11/2000,1471.84,282.9675205,14420.26245,1027.58,100.3386,108.76501,102.9829
8/14/2000,1491.56,279.3984961,14551.57961,1029.33,100.3974,108.69789,103.2509
8/15/2000,1484.43,287.0641939,14653.13087,1028.05,100.2596,108.49663,102.8862
8/16/2000,1479.85,291.5107671,14686.21775,1026.86,100.1512,108.46512,103.6102
8/17/2000,1496.07,289.7491473,14628.37102,1028.11,100.233,108.48739,103.8571
8/18/2000,1491.72,286.7362355,14519.35174,1029.99,100.1086,108.47826,104.2183
8/21/2000,1499.48,287.7470332,14499.08763,1029.51,100.0717,108.32222,105.2951
8/22/2000,1498.13,290.4894491,14461.19647,1030.19,99.9111,108.44238,104.1362
8/23/2000,1505.97,286.4849816,14489.77949,1032.91,99.6042,108.5575,104.9454
8/24/2000,1508.31,286.6559443,14388.29809,1033.88,99.6871,108.5892,104.818
8/25/2000,1506.45,283.341697,14196.7612,1033.96,99.4458,108.53466,105.4018
8/29/2000,1509.84,283.3752779,13967.71357,1029.97,99.3177,108.37191,107.0126
8/30/2000,1502.59,281.0045795,14058.65704,1030.79,99.4391,108.40248,107.924
8/31/2000,1517.68,281.0818263,13975.09984,1035.18,99.4446,108.46475,108.1696
9/1/2000,1520.77,284.9577882,14533.28063,1037.33,99.1522,108.98837,108.4174
9/4/2000,#N/A,291.4113267,14452.27952,#N/A,99.2431,108.98852,#N/A
9/5/2000,1507.08,289.2956602,14269.35989,1038.19,99.1189,108.88947,109.5395
9/6/2000,1492.25,289.4880937,13883.73617,1036.02,99.0357,108.72972,110.1072
9/7/2000,1502.51,286.5873357,13817.03651,1034.79,99.1043,108.71188,110.62
9/8/2000,1494.5,284.0508514,13255.57361,1036.47,99.4917,108.63515,109.3436
9/11/2000,1489.26,279.6601513,13020.01029,1034.92,99.6181,108.73114,110.9523
9/12/2000,1481.99,273.4484574,12945.03781,1034.41,99.6912,108.70345,110.2859
9/13/2000,1484.91,#N/A,12889.74685,1036.65,99.6093,108.79134,109.4418
9/14/2000,1480.87,269.5949708,12967.0649,1033.46,99.4892,108.84576,109.664
9/15/2000,1465.81,267.2781563,12566.35245,1030.96,99.4756,108.79765,110.3449
9/18/2000,1444.51,255.9522778,12632.05079,1030.02,99.5087,108.71072,111.1721
9/19/2000,1459.9,257.8113568,12699.61318,1031.04,99.5959,108.86674,110.6165
9/20/2000,1451.34,257.5878784,12501.33349,1028.92,99.5019,108.86787,110.3186
9/21/2000,1449.05,249.2832759,12770.86871,1030.93,99.429,109.02855,109.7653
9/22/2000,1448.72,240.3147873,13159.68295,1032.08,99.6826,109.23224,108.5449
9/25/2000,1439.03,253.6963429,13191.35632,1032.95,99.6715,109.00367,108.2395
9/26/2000,1427.21,251.4320348,13282.17054,1035.37,99.5342,109.14342,108.1991
9/27/2000,1426.57,253.9785253,13400.76592,1034.08,99.6147,109.05043,108.4825
9/28/2000,1458.29,253.5313208,13404.75324,1034.56,99.6332,109.15237,106.4608
9/29/2000,1436.51,257.4463131,13752.33855,1036,99.7748,109.34054,106.975
10/2/2000,1436.23,#N/A,13505.59749,1034.41,99.878,109.36279,108.3767
10/3/2000,1426.46,258.7260098,13503.15249,1033.18,99.9016,109.36609,108.4194
10/4/2000,1434.32,261.2705234,13475.18553,1032.54,99.9579,109.35255,107.6212
10/5/2000,1436.28,266.2866138,13326.08784,1034.95,100.0265,109.24783,106.5862
10/6/2000,1408.99,#N/A,13349.80847,1037.58,99.9763,109.35549,106.2992
10/9/2000,1402.03,258.1588588,13129.48882,#N/A,100.0053,109.57317,107.4106
10/10/2000,1387.02,255.8199397,13176.96733,1039.61,99.8973,109.5389,109.3022
10/11/2000,1364.59,248.7122827,13062.86965,1040.51,99.9018,109.77887,110.2331
10/12/2000,1329.78,247.9684853,13286.8361,1043.2,99.8157,109.78026,112.7173
10/13/2000,1374.17,241.4330144,13271.05213,1043.52,99.8349,109.72625,110.6136
10/16/2000,1374.62,246.25,13171.03471,1042.79,99.8155,109.7005,108.6883
10/17/2000,1349.97,244.5996396,12995.6816,1046.93,99.8552,109.6851,108.6119
10/18/2000,1342.13,237.7762782,12791.593,1047.01,99.9779,109.70981,107.8793
10/19/2000,1388.76,237.2268353,12996.52947,1047.67,99.9877,109.69376,106.5162
10/20/2000,1396.93,247.4213818,13194.71135,1049.36,100.019,109.68565,107.0807
10/23/2000,1395.78,248.3262666,13379.9765,1052.73,99.9293,109.69742,107.777
10/24/2000,1398.13,245.3937902,13538.84863,1050.83,99.8854,109.74522,107.0684
10/25/2000,1364.9,247.6040363,13074.82654,1048.26,99.9217,109.53983,105.5776
10/26/2000,1364.44,246.5181281,13000.07741,1048.88,99.9592,109.66987,105.1405
10/27/2000,1379.58,244.9702292,13453.05393,1047.92,100.0037,109.79483,103.8635
10/30/2000,1398.66,243.2733972,13436.93529,1047.8,100.1543,109.80582,103.538
10/31/2000,1429.4,244.8908591,13504.80084,1046.1,100.1614,109.81332,103.8204
11/1/2000,1421.22,252.4790278,13559.17836,1047.59,100.0287,109.92354,104.4093
11/2/2000,1428.32,251.662771,13336.37215,1047.79,100.1207,109.91723,104.4918
11/3/2000,1426.69,256.5322812,13419.14419,1043.14,100.0976,109.93105,105.3275
11/6/2000,1432.19,257.7383079,13098.79155,1041.96,100.1524,109.90899,105.2937
11/7/2000,1431.87,260.1526666,13295.18271,1042,100.0844,109.87281,106.4737
11/8/2000,1409.28,257.4253613,13116.13644,1043.04,100.0762,109.80368,107.1346
11/9/2000,1400.14,254.963153,13134.59209,1045.63,100.1677,109.91383,107.7149
11/10/2000,1365.98,253.0004424,13032.10686,1045.43,100.2023,110.00878,107.4926
11/13/2000,1351.26,243.5751087,12985.3621,1048.25,100.3547,110.19102,108.0899
11/14/2000,1382.95,249.5173249,13111.91772,1049.4,100.3417,110.21434,109.4153
11/15/2000,1389.81,248.6550886,13091.34226,1051.97,100.4379,110.26698,110.9368
11/16/2000,1372.32,251.484408,13045.96596,1053.74,100.5073,110.35461,109.4411
11/17/2000,1367.72,249.5336727,13054.2322,1052.31,100.5156,110.35648,110.9498
11/20/2000,1342.62,252.2607673,12843.56676,1053.87,100.6811,110.44534,111.6874
11/21/2000,1347.35,249.6817447,12817.59468,1054.82,100.7732,110.37951,112.0437
11/22/2000,1322.36,242.8216211,12340.422,1059.84,100.7558,110.62094,112.6458
11/23/2000,#N/A,239.3862086,12308.04746,#N/A,100.7599,110.61563,#N/A
11/24/2000,1341.77,236.3248817,12394.05772,1058.2,100.988,110.66013,#N/A
11/27/2000,1348.97,240.0313829,12809.92194,1057.73,100.9391,110.71384,112.808
11/28/2000,1336.09,239.4368873,12552.7449,1060.16,100.8834,110.94651,110.8533
11/29/2000,1341.91,232.8845566,12485.01817,1062.45,101.0856,111.01444,110.9126
11/30/2000,1314.95,229.8905582,12444.47139,1067.54,101.3224,111.36914,111.5902
12/1/2000,1315.23,237.3551922,12823.73928,1064.39,101.3586,111.38316,110.3136
12/4/2000,1324.97,239.334424,12994.94569,1064.51,101.3248,111.65208,112.1747
12/5/2000,1376.54,239.5333628,12976.75124,1069.79,101.4153,111.66283,110.4997
12/6/2000,1351.46,248.3466213,13026.72326,1075.06,101.2906,111.82471,114.118
12/7/2000,1343.55,246.8974985,12981.93345,1075.84,101.6125,111.86744,113.1953
12/8/2000,1369.89,249.8972808,13205.97791,1073.72,101.528,111.77267,113.0858
12/11/2000,1380.2,253.5102678,13520.06896,1073.64,101.2687,111.75661,116.0914
12/12/2000,1371.18,252.1726875,13393.55327,1074.48,101.2666,111.76759,113.2493
12/13/2000,1359.99,256.8069262,13526.66322,1078.63,101.1032,112.03047,111.4166
12/14/2000,1340.93,254.7301828,13543.57529,1081.72,101.2969,112.19331,110.0598
12/15/2000,1312.15,246.1524327,13448.79163,1083.42,101.3692,112.4369,112.056
12/18/2000,1322.74,246.9641837,13556.82193,1084.26,101.2077,112.64227,112.967
12/19/2000,1305.6,249.6582587,13543.59176,1083.04,101.3937,112.43908,113.1808
12/20/2000,1264.74,245.4284844,13444.85378,1087.38,101.6852,112.57928,111.6346
12/21/2000,1274.86,240.9796154,13266.31883,1090.45,101.8183,112.56207,111.9795
12/22/2000,1305.97,242.2950931,13294.22517,1092.12,101.7947,112.59402,111.5417
12/27/2000,1328.92,242.4992678,13910.45468,1088.24,101.8621,112.76391,112.9431
12/28/2000,1334.22,243.2479607,13844.92356,1087.65,101.6088,112.62129,112.5688
12/29/2000,1320.28,248.137595,13876.60175,1087.91,101.6594,112.94346,114.6134
1/2/2001,1283.27,244.448187,13901.19042,1099.3,#N/A,113.54425,111.4511
1/3/2001,1347.56,239.8331765,13534.44936,1089.3,#N/A,113.67804,111.5056
1/4/2001,1333.34,250.4435195,13897.17899,1095.18,101.9361,113.68772,113.2662
1/5/2001,1298.35,253.9901484,13977.88123,1100.13,102.0864,113.93095,113.8326
1/8/2001,1295.86,253.7689241,13754.93323,1101.9,102.11,113.95624,114.6617
1/9/2001,1300.8,254.8154935,13492.76684,1098.86,102.3739,113.69003,115.0856
1/10/2001,1313.27,253.7502539,13446.02278,1093.97,102.2011,113.44362,115.5499
1/11/2001,1326.82,248.0482176,13726.44804,1090.89,102.5352,113.59863,114.7323
1/12/2001,1318.32,251.4443088,13483.32753,1085.17,102.6706,113.2434,115.0255
1/15/2001,#N/A,251.3960588,13476.39515,#N/A,102.6389,113.34457,#N/A
1/16/2001,1326.65,252.5366783,13147.95079,1087.18,102.4412,113.28509,114.053
1/17/2001,1329.47,250.8847463,13444.89724,1092.06,102.3835,113.37919,112.7037
1/18/2001,1347.97,255.2718815,13488.92703,1097.15,102.7052,113.50974,114.0237
1/19/2001,1342.54,261.939683,13337.82377,1092.17,102.803,113.44919,115.2254
1/22/2001,1342.9,264.6504725,13372.6811,1089.86,103.0005,113.40312,115.4782
1/23/2001,1360.4,263.7588655,13426.82155,1086.45,102.9583,113.57014,114.366
1/24/2001,1364.3,#N/A,13297.8571,1085.59,102.9413,113.32745,113.6592
1/25/2001,1357.51,#N/A,13345.40193,1088.11,103.0685,113.27182,113.8642
1/26/2001,1354.95,#N/A,13397.30385,1088.05,103.1383,113.38351,114.0719
1/29/2001,1364.17,264.667989,13436.40766,1087.14,103.0981,113.50076,112.1677
1/30/2001,1373.73,261.2273231,13539.78485,1092.46,102.8853,113.70191,112.3656
1/31/2001,1366.01,264.7486075,13466.57805,1096.76,102.9748,113.89805,111.3745
2/1/2001,1373.47,265.7620711,13661.03296,1102.28,102.928,113.93369,113.4645
2/2/2001,1349.47,264.2243929,13475.04048,1097.72,102.6931,113.95172,115.2944
2/5/2001,1354.31,260.2511738,13637.17277,1098.97,102.8795,114.11906,113.2027
2/6/2001,1352.26,261.5856646,13396.09552,1096.74,102.8345,114.08472,113.1556
2/7/2001,1340.89,263.8385914,13208.50183,1097.36,103.0754,114.19658,114.0916
2/8/2001,1332.53,261.50914,12951.12079,1097.16,103.0679,113.99809,113.8385
2/9/2001,1314.76,260.9287989,12894.98158,1101.14,103.3171,114.1513,113.1022
2/12/2001,1330.31,257.9869732,13153.62597,1099.11,103.3464,114.20383,112.292
2/13/2001,1318.8,260.4130926,13139.90938,1097.79,103.5125,114.25919,112.5776
2/14/2001,1315.92,260.7240951,13099.72385,1095.76,103.3629,114.13988,111.8473
2/15/2001,1326.61,258.9953832,13011.81808,1091.69,103.3607,113.7906,110.9273
2/16/2001,1301.53,256.9545728,12779.69854,1096.15,103.3841,113.91827,111.3535
2/19/2001,#N/A,254.6310687,12732.78436,#N/A,103.6078,114.03084,#N/A
2/20/2001,1278.94,255.2424881,12474.83169,1097.14,103.4839,113.95896,110.839
2/21/2001,1255.27,252.3453492,12409.91373,1095.14,103.6349,113.86428,110.3787
2/22/2001,1252.82,248.1823521,12535.91089,1095.5,103.4278,113.79153,110.2016
2/23/2001,1245.86,251.1790787,12548.86791,1099.36,103.4917,113.94008,110.4648
2/26/2001,1267.65,250.3644503,12352.24448,1102.53,103.66,114.04392,110.1503
